__id__,icecat_brand_fixed,icecat_description_short,icecat_name,icecat_summary_short,icecat_title,generation,model
SENSATIONGALS11R,cellularline,"{'for', 'silicon', 'galaxi', 'soft-touch', 's20', 'case', 'samsung'}",{'sensat'},"{'galaxi', 'red', 's20', '6.7', 'cover', 'cellularlin', 'sensat', 'samsung'}","{'mobil', 'red', '6.7', 'phone', 'cover', 'cellularlin', 'case', 'sensat'}",0,4
ANTIMICROGALS11EK,cellularline,"{'galaxi', 's20', 'antibacteri', 'black', 'case', 'protect', 'with', 'technolog', 'integr'}",{'antibacteri'},"{'galaxi', '6.2', 's20', 'cover', 'cellularlin', 'antibacteri', 'black', 'transluc', 'samsung'}","{'mobil', '6.2', 'phone', 'cover', 'cellularlin', 'antibacteri', 'black', 'case', 'transluc'}",0,4
DARKSTONEGALS11EK,cellularline,"{'for', 'galaxi', 'book-styl', 's20', 'case', 'samsung'}","{'stone', 'dark'}","{'galaxi', '6.2', 's20', 'cellularlin', 'black', 'case', 'stone', 'dark', 'samsung', 'flip'}","{'mobil', '6.2', 'phone', 'cellularlin', 'black', 'case', 'stone', 'dark', 'flip'}",1,10
0235,panzerglass,"{'frame', 'galaxi', 's20', 'clear', 'samsung'}",{'0235'},"{'0235', 'galaxi', '6.2', 'panzerglass', 's20', 'cover', 'transpar', 'samsung'}","{'mobil', '0235', '6.2', 'panzerglass', 'phone', 'cover', 'case', 'transpar'}",0,4
0239,panzerglass,"{'frame', 'galaxi', 's20', 'black', 'honeycomb', 'samsung'}",{'0239'},"{'galaxi', 'panzerglass', 's20', '6.7', 'cover', '0239', 'transpar', 'samsung'}","{'mobil', 'panzerglass', 'phone', '6.7', 'cover', 'case', '0239', 'transpar'}",0,4
0236,panzerglass,"{'frame', 'galaxi', 's20', 'clear', 'samsung'}",{'0236'},"{'galaxi', 'panzerglass', 's20', '6.7', 'cover', 'transpar', '0236', 'samsung'}","{'mobil', 'panzerglass', 'phone', '6.7', 'cover', 'case', 'transpar', '0236'}",0,4
0237,panzerglass,"{'ultra', 'galaxi', 'frame', 's20', 'clear', 'samsung'}",{'0237'},"{'ultra', '6.9', 'galaxi', 'panzerglass', 's20', 'cover', '0237', 'transpar', 'samsung'}","{'mobil', '6.9', 'panzerglass', 'phone', 'cover', 'case', '0237', 'transpar'}",0,4
0375,panzerglass,"{'5g', 'galaxi', 'samsung', 's22'}",{'0375'},"{'0375', 'galaxi', 'panzerglass', '5g', 's22', 'samsung'}","{'0375', 'mobil', 'panzerglass', 'phone', 'case'}",1,8
0376,panzerglass,"{'ultra', 'galaxi', '5g', 's22', 'samsung'}",{'0376'},"{'ultra', 'galaxi', 'panzerglass', '5g', '0376', 's22', 'samsung'}","{'mobil', 'panzerglass', 'phone', '0376', 'case'}",1,8
0371,panzerglass,"{'galaxi', 'frame', '5g', 'clear', 's22', 'anti-bacteri', 'samsung'}",{'0371'},"{'galaxi', 'panzerglass', '5g', 's22', 'transpar', '0371', 'samsung'}","{'mobil', 'panzerglass', 'phone', 'case', 'transpar', '0371'}",1,8
0372,panzerglass,"{'galaxi', 'frame', '5g', 'clear', 's22', 'anti-bacteri', 'samsung'}",{'0372'},"{'galaxi', 'panzerglass', '5g', '0372', 's22', 'transpar', 'samsung'}","{'mobil', 'panzerglass', 'phone', '0372', 'case', 'transpar'}",1,8
